Name,Dates,Type,Course
Peer and Self-Evaluation,,,
Group Project Phase II,,,
HW#6: Python,,,
HW#5: Provenance,,,
Group Project Phase I,,,
HW#4: SQL,,,
HW#3: Datalog,,,
HW#2: OpenRefine,,,
HW#1:Regular Expressions,,,
